Region,State,Site Name                                                                ,Site ID,EPA ID,Address,City,Zip,County,FF Ind,NAI,Latitude,Longitude,NPL Status
‭09‬,AZ,WILLIAMS AIR FORCE BASE,‭0900890‬,AZ7570028582,WILLIAMS AFB 6001 SOUTH POWER ROAD,CHANDLER,85224,MARICOPA,Y,N,33.30695,-111.6519,11/21/89
‭09‬,AZ,YUMA MARINE CORPS AIR STATION,‭0900885‬,AZ0971590062,AVENUE 3E ,YUMA,85369,YUMA,Y,N,32.654581,-114.5888,02/21/90
‭09‬,CA,"ADVANCED MICRO DEVICES, INC.",‭0901389‬,CAD048634059,901 THOMPSON PL ,SUNNYVALE,94086,SANTA CLARA,N,N,37.3825,-122.0086,06/10/86
‭09‬,CA,"ADVANCED MICRO DEVICES, INC. (BUILDING 915)",‭0902708‬,CAT080034234,915 DEGUIGNE ,SUNNYVALE,94086,SANTA CLARA,N,N,37.3868,-122.0066,08/30/90
‭09‬,CA,AEROJET GENERAL CORP.,‭0901718‬,CAD980358832,HWY US 50 & AEROJET RD ,RANCHO CORDOVA,95670,SACRAMENTO,N,N,38.608331,-121.2,09/08/83
‭09‬,CA,ALAMEDA NAVAL AIR STATION,‭0902731‬,CA2170023236,W END CITY OF ALAMEDA ,ALAMEDA,94501,ALAMEDA,Y,N,37.788889,-122.33,07/22/99
‭09‬,CA,ALARK HARD CHROME,‭0901694‬,CAD098229214,2777 MAIN STREET ,RIVERSIDE,92501,RIVERSIDE,N,N,33.991886,-117.367186,12/01/00
‭09‬,CA,AMCO CHEMICAL,‭0905334‬,CA0001576081,1414 THIRD STREET ,OAKLAND,94607,ALAMEDA,N,N,37.8025,-122.29375,09/29/03
‭09‬,CA,APPLIED MATERIALS,‭0901344‬,CAD042728840,3050 BOWERS AVE ,SANTA CLARA,95051,SANTA CLARA,N,N,37.3777,-121.9777,07/22/87
‭09‬,CA,ARGONAUT MINE,‭0904596‬,CAD983650011,ARGONAUT LANE ,JACKSON,95642,AMADOR,N,N,38.353333,-120.78575,09/09/16
‭09‬,CA,ATLAS ASBESTOS MINE,‭0901736‬,CAD980496863,LOS GATOS CREEK RD NW OF FRESNO ,COALINGA,93210,FRESNO,N,N,36.321669,-120.5867,09/21/84
‭09‬,CA,BARSTOW MARINE CORPS LOGISTICS BASE,‭0902790‬,CA8170024261,MARINE CORPS LOGIS BASE- NEBO ,BARSTOW,92311,SAN BERNARDINO,Y,N,34.878331,-116.9389,11/21/89
‭09‬,CA,BLUE LEDGE MINE,‭0906063‬,CAN000906063,"SECTIONS 34, TOWNSHIP 48 N, RANGE 11 W 3 MILES SOUTH OF OREGON ON ROAD 1060",ROGUE RIVER-SISKIYOU NF,96086,SISKIYOU,N,N,41.959961,-123.107442,09/16/11
‭09‬,CA,"BROWN & BRYANT, INC. (ARVIN PLANT)",‭0901425‬,CAD052384021,600 S DERBY RD ,ARVIN,93203,KERN,N,N,35.203061,-118.822,10/04/89
‭09‬,CA,CAMP PENDLETON MARINE CORPS BASE,‭0902732‬,CA2170023533,CAMP PENDLETON MARINE BASE ,CAMP PENDLETON,92055,SAN DIEGO,Y,N,33.306669,-117.3408,11/21/89
‭09‬,CA,CASMALIA RESOURCES,‭0901257‬,CAD020748125,3300 NTU ROAD ,CASMALIA,93429,SANTA BARBARA,N,N,34.863125,-120.544303,09/13/01
‭09‬,CA,CASTLE AIR FORCE BASE (6 AREAS),‭0902751‬,CA3570024551,CASTLE AFB ,MERCED,95342,MERCED,Y,N,37.367361,-120.5636,07/22/87
‭09‬,CA,COAST WOOD PRESERVING,‭0901489‬,CAD063015887,PLANT RD & TAYLOR DR ,UKIAH,95482,MENDOCINO,N,N,39.1125,-123.193,09/08/83
‭09‬,CA,CONCORD NAVAL WEAPONS STATION,‭0902778‬,CA7170024528,PORT CHICAGO HWY ,CONCORD,94520,CONTRA COSTA,Y,N,38.049444,-122,12/16/94
‭09‬,CA,COOPER DRUM CO.,‭0903253‬,CAD055753370,9316 ATLANTIC AVE ,SOUTH GATE,90280,LOS ANGELES,N,N,33.946972,-118.179694,06/14/01
‭09‬,CA,COPPER BLUFF MINE,‭0901923‬,CAD980638225,"OFF HIGHWAY 96, APPROXIMATELY 0.9 MILE  NORTH OF MILL CREEK ROAD",HOOPA,95546,HUMBOLDT,N,Y,41.109972,-123.686,05/15/19
‭09‬,CA,CRAZY HORSE SANITARY LANDFILL,‭0901744‬,CAD980498455,350 CRAZY HORSE CANYON ROAD ,SALINAS,93907,MONTEREY,N,N,36.8026,-121.6186,08/30/90
‭09‬,CA,"CTS PRINTEX, INC.",‭0901206‬,CAD009212838,PLYMOUTH & COLONY STS ,MOUNTAIN VIEW,94043,SANTA CLARA,N,N,37.4165,-122.0872,02/21/90
‭09‬,CA,DEL AMO,‭0901293‬,CAD029544731,DEL AMO BLVD AND VERMONT AVE ,LOS ANGELES,90502,LOS ANGELES,N,N,33.846639,-118.289472,09/05/02
‭09‬,CA,EDWARDS AIR FORCE BASE,‭0902725‬,CA1570024504,"AFFTC EDWARDS AFB 5 EAST  POPSON AVE, BLDG 2650A",EDWARDS AFB,93524,KERN,Y,N,34.949439,-117.8857,08/30/90
‭09‬,CA,EL TORO MARINE CORPS AIR STATION,‭0902770‬,CA6170023208,EL TORO MARINE CORPS AIR STA EL TORO M C A S,EL TORO,92709,ORANGE,Y,N,33.676669,-117.7176,02/21/90
‭09‬,CA,FAIRCHILD SEMICONDUCTOR CORP. (MOUNTAIN VIEW PLANT),‭0901680‬,CAD095989778,"369, 515 N Whisman, 313 Fairchild & 401 National ",MOUNTAIN VIEW,94042,SANTA CLARA,N,N,37.4012,-122.0542,02/11/91
‭09‬,CA,FAIRCHILD SEMICONDUCTOR CORP. (SOUTH SAN JOSE PLANT),‭0901685‬,CAD097012298,101 BERNAL ROAD ,SAN JOSE,95119,SANTA CLARA,N,N,37.2326,-121.7748,10/04/89
‭09‬,CA,FORT ORD,‭0902783‬,CA7210020676,FORMER ARMY BASE FORT ORD ,MARINA,93933,MONTEREY,Y,N,36.625,-121.75,02/21/90
‭09‬,CA,FRESNO MUNICIPAL SANITARY LANDFILL,‭0901854‬,CAD980636914,SW COR OF JENSEN & W AVE ,FRESNO,93706,FRESNO,N,N,36.704169,-119.8261,10/04/89
‭09‬,CA,FRONTIER FERTILIZER,‭0901554‬,CAD071530380,COUNTY ROAD 32A ,DAVIS,95618,YOLO,N,N,38.552588,-121.703615,05/31/94
‭09‬,CA,GEORGE AIR FORCE BASE,‭0902737‬,CA2570024453,AIR BASE RD- NR ST RTE 395 ,VICTORVILLE,92392,SAN BERNARDINO,Y,N,34.595,-117.3833,02/21/90
‭09‬,CA,HALACO ENGINEERING COMPANY,‭0901242‬,CAD009688052,6200 PERKINS ,OXNARD,93033,VENTURA,N,N,34.138889,-119.181944,09/19/07
‭09‬,CA,HEWLETT-PACKARD (620-640 PAGE MILL ROAD),‭0902134‬,CAD980884209,620 - 640 PAGE MILL RD. ,PALO ALTO,94304,SANTA CLARA,N,N,37.4214,-122.1434,02/21/90
